종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4295","-10","-0.23","194360599905"
"006840","AK홀딩스","KOSPI","기타금융","9670","30","0.31","128103914870"
"027410","BGF","KOSPI","기타금융","3460","10","0.29","331180096860"
"282330","BGF리테일","KOSPI","유통","101500","-1000","-0.98","1754316459000"
"138930","BNK금융지주","KOSPI","기타금융","10510","170","1.64","3367790000770"
"001460","BYC","KOSPI","섬유·의류","29400","-100","-0.34","183636810000"
"001465","BYC우","KOSPI","섬유·의류","12930","-30","-0.23","27849280500"
"001040","CJ","KOSPI","기타금융","97500","-1600","-1.61","2844757305000"
"079160","CJ CGV","KOSPI","오락·문화","5290","0","0.00","875918591460"
"00104K","CJ4우(전환)","KOSPI","기타금융","77000","-1500","-1.91","325441424000"
"000120","CJ대한통운","KOSPI","운송·창고","84100","-300","-0.36","1918518130400"
"011150","CJ씨푸드","KOSPI","음식료·담배","2950","45","1.55","105995780350"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","22000","3030","15.97","4400000000"
"001045","CJ우","KOSPI","기타금융","57000","-400","-0.70","128832711000"
"097950","CJ제일제당","KOSPI","음식료·담배","247500","-8000","-3.13","3725911035000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","125600","-1200","-0.95","166725584800"
"000480","CR홀딩스","KOSPI","비금속","5680","-20","-0.35","266337983200"
"000590","CS홀딩스","KOSPI","기타금융","70500","1600","2.32","81390981000"
"012030","DB","KOSPI","IT 서비스","1293","-11","-0.84","260117895369"
"016610","DB금융투자","KOSPI","증권","5190","20","0.39","220296758910"
"005830","DB손해보험","KOSPI","보험","102600","-200","-0.19","7264080000000"
"000990","DB하이텍","KOSPI","전기·전자","32900","-250","-0.75","1460713545200"
"139130","DGB금융지주","KOSPI","기타금융","8170","-10","-0.12","1381921455610"
"001530","DI동일","KOSPI","유통","49300","100","0.20","1056662774600"
"000210","DL","KOSPI","화학","31050","-550","-1.74","650680198200"
"000215","DL우","KOSPI","화학","19900","0","0.00","33553688500"
"375500","DL이앤씨","KOSPI","건설","30700","-1450","-4.51","1187894226100"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","21000","-200","-0.94","44350971000"
"37550K","DL이앤씨우","KOSPI","건설","15620","-330","-2.07","33018883700"
"007340","DN오토모티브","KOSPI","전기·전자","18340","10","0.05","1083267964100"
"004840","DRB동일","KOSPI","화학","4095","30","0.74","81613350000"
"155660","DSR","KOSPI","금속","4030","215","5.64","64480000000"
"069730","DSR제강","KOSPI","금속","3810","200","5.54","54864000000"
"017860","DS단석","KOSPI","화학","28850","-1600","-5.25","507304516200"
"017940","E1","KOSPI","유통","68100","-600","-0.87","467166000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4335","80","1.88","923740815000"
"383220","F&F","KOSPI","섬유·의류","56200","1900","3.50","2152857615000"
"007700","F&F홀딩스","KOSPI","기타금융","11960","-100","-0.83","467807829320"
"114090","GKL","KOSPI","오락·문화","11330","290","2.63","700824741100"
"078930","GS","KOSPI","기타금융","38800","-500","-1.27","3605116666400"
"006360","GS건설","KOSPI","건설","17350","0","0.00","1484838851500"
"001250","GS글로벌","KOSPI","유통","2715","40","1.50","224079169260"
"007070","GS리테일","KOSPI","유통","17140","640","3.88","1433031093100"
"078935","GS우","KOSPI","기타금융","36750","-100","-0.27","65592355500"
"499790","GS피앤엘","KOSPI","기타금융","22200","0","0.00","440244670200"
"012630","HDC","KOSPI","기타금융","12090","180","1.51","722277406890"
"039570","HDC랩스","KOSPI","건설","8510","-100","-1.16","220899184510"
"089470","HDC현대EP","KOSPI","화학","3440","-105","-2.96","109736000000"
"294870","HDC현대산업개발","KOSPI","건설","17650","-400","-2.22","1163264374500"
"009540","HD한국조선해양","KOSPI","기타금융","231000","3000","1.32","16348589796000"
"267250","HD현대","KOSPI","기타금융","85600","6400","8.08","6761808076000"
